HkeyDateTime,Status
720250526032807,Normal
20250526033022,Close
20250526033200,Close
20250526033201,Close
20250526033204,Close
20250526033205,Close
20250526033207,Close
20250526033233,Open
20250526033237,Open
20250526033311,Open
20250526033433,Open
20250526033541,Close
20250526033616,Open
20250526033708,Open
20250526033723,Close
20250526034017,Close
20250526034155,Open
20250526034201,Close
20250526034209,Close
20250526034213,Close
20250526034213,Close
20250526034214,Close
20250526034217,Close
20250526034219,Open
20250526034221,Open
20250526034225,Open
20250526034355,MidTravel
20250526034500,Close
20250526034505,Close
20250526034506,Open
20250526034517,Open
20250526034527,Close
20250526034530,Close
20250526034612,Close
20250526034613,Open
20250526034616,Open
20250526034617,Open
20250526034623,Stopped
20250526034639,Close
20250526034646,Close
20250526034651,Close
20250526034651,Close
20250526034709,Close
20250526034710,Close
20250526034719,Close
20250526034723,Close
20250526034751,Close
20250526034753,Close
20250526034758,Close
20250526034759,Close
20250526034802,Close
20250526034902,Failure
20250526035146,Close
120250526035225,Stopped
320250526035602,Alarm
20250526035702,Close
320250526030214,Normal
320250526030432,Normal
20250526031020,Open
20250526031030,Open
20250526031039,Open
20250526031040,Open
20250526031122,Open
20250526031127,Open
120250526031142,Stopped
20250526031158,Open
20250526031213,Open
20250526031222,Open
20250526031224,Open
20250526031224,MidTravel
20250526031225,Close
20250526031232,Close
20250526031233,Close
20250526031236,Close
20250526031243,Close
20250526031256,Open
20250526031301,Open
20250526031302,Open
320250526031332,Normal
20250526031401,MidTravel
20250526031402,Discrepancy
20250526031403,Close
20250526031624,Open
20250526031828,Open
20250526031959,Open
320250526032028,Alarm
320250526032152,Running
320250526032459,Normal
20250526032707,Open
20250526032709,Open
320250526032831,Alarm
20250526033120,Open
20250526033200,Open
20250526033202,Open
20250526033205,Open
20250526033205,Open
20250526033207,Open
20250526033233,Close
20250526033237,Close
20250526033403,Event
20250526033433,Open
20250526033559,Open
320250526033633,Alarm
20250526033720,MidTravel
20250526033829,Close
20250526034032,Close
20250526034157,Discrepancy
20250526034203,Open
20250526034212,Open
20250526034213,Open
20250526034213,Open
20250526034215,Open
20250526034218,Close
20250526034219,Close
20250526034222,Close
20250526034321,Close
320250526034404,Alarm
20250526034500,Open
20250526034505,Close
20250526034509,Close
20250526034518,Open
20250526034527,Open
20250526034554,Open
20250526034612,Open
20250526034615,Close
20250526034616,Close
20250526034617,Close
20250526034626,Close
20250526034642,Open
20250526034647,Open
20250526034651,Open
20250526034653,Open
20250526034710,Open
20250526034712,Open
20250526034720,Open
20250526034751,Open
20250526034752,Open
20250526034754,Open
20250526034758,Open
20250526034759,Open
20250526034803,Open
120250526035014,Running
20250526035147,Open
20250526035308,Stopped
20250526035625,Normal
320250526035907,Running
20250526030315,Open
20250526030913,Stopped
20250526031021,Close
20250526031034,Close
20250526031039,Close
20250526031040,Close
20250526031124,Close
320250526031127,Alarm
220250526031148,Normal
20250526031159,Close
20250526031213,Close
20250526031222,Close
20250526031224,Open
20250526031224,Open
20250526031226,Open
20250526031232,Open
20250526031234,Open
20250526031240,Open
20250526031244,Close
20250526031256,Close
20250526031301,Close
20250526031302,Close
20250526031352,Close
20250526031401,MidTravel
20250526031402,Open
20250526031610,Open
20250526031826,Close
20250526031901,Close
20250526032020,Close
20250526032135,Open
320250526032327,Event
20250526032513,Close
20250526032707,Close
320250526032737,Normal
20250526032840,Event
320250526033149,Normal
20250526033201,Close
20250526033204,Close
20250526033205,Close
20250526033205,Close
20250526033207,Close
20250526033236,Open
20250526033311,Open
320250526033403,Normal
20250526033450,Close
20250526033601,Close
20250526033640,Open
20250526033722,Close
